basari_sirasi,ayt_dil,toplam_net
389.0,4.06,4.06
279.0,76.7,76.7
215.0,78.8,78.8
791.0,1.72,1.72
918.0,75.6,75.6
1244.0,77.2,77.2
1707.0,2.52,2.52
1656.0,75.8,75.8
2120.0,75.8,75.8
1691.0,2.85,2.85
1874.0,76.8,76.8
1507.0,76.4,76.4
2067.0,2.5,2.5
2166.0,75.8,75.8
3248.0,73.6,73.6
2380.0,1.73,1.73
2943.0,76.3,76.3
2364.0,77.1,77.1
2617.0,77.0,77.0
3112.0,76.2,76.2
2513.0,77.0,77.0
3686.0,78.8,78.8
3682.0,75.6,75.6
3656.0,76.2,76.2
3123.0,4.9,4.9
3939.0,75.8,75.8
3142.0,76.0,76.0
2858.0,3.28,3.28
3986.0,75.5,75.5
3485.0,76.3,76.3
3558.0,1.39,1.39
4025.0,76.5,76.5
4605.0,74.5,74.5
3304.0,78.8,78.8
4086.0,73.2,73.2
4334.0,76.0,76.0
3822.0,4.39,4.39
4126.0,75.6,75.6
5134.0,73.9,73.9
5540.0,4.4,4.4
4226.0,75.0,75.0
6211.0,76.0,76.0
3376.0,2.86,2.86
4347.0,75.4,75.4
4710.0,74.8,74.8
4729.0,1.19,1.19
4909.0,75.4,75.4
6452.0,74.1,74.1
3844.0,4.21,4.21
5463.0,75.2,75.2
5003.0,73.5,73.5
3970.0,2.81,2.81
5492.0,75.7,75.7
5971.0,74.7,74.7
4660.0,4.92,4.92
5936.0,75.2,75.2
5467.0,74.5,74.5
4545.0,1.12,1.12
6002.0,75.3,75.3
7071.0,74.4,74.4
6731.0,3.75,3.75
6052.0,77.5,77.5
8453.0,75.0,75.0
6617.0,2.74,2.74
6513.0,74.2,74.2
4272.0,75.4,75.4
3943.0,3.1,3.1
6601.0,74.9,74.9
4559.0,74.9,74.9
3423.0,4.48,4.48
6641.0,76.3,76.3
4763.0,75.0,75.0
6959.0,4.3,4.3
6793.0,75.9,75.9
8650.0,71.5,71.5
5544.0,2.59,2.59
6856.0,75.8,75.8
7141.0,73.6,73.6
6825.0,3.3,3.3
6877.0,74.1,74.1
5665.0,70.3,70.3
5588.0,4.73,4.73
6960.0,74.8,74.8
6386.0,75.4,75.4
5791.0,3.02,3.02
7101.0,75.2,75.2
7256.0,73.8,73.8
5671.0,1.56,1.56
7283.0,76.7,76.7
5135.0,76.2,76.2
6033.0,3.62,3.62
7541.0,75.5,75.5
8301.0,74.5,74.5
8877.0,4.0,4.0
