basari_sirasi,ayt_matematik,ayt_edebiyat,ayt_cografya1,toplam_net
94.0,35.8,22.5,5.1,63.4
82.0,39.2,22.5,5.3,67.0
200.0,39.4,22.7,5.9,68.0
670.0,30.1,21.6,4.9,56.6
163.0,37.5,22.8,5.4,65.7
455.0,37.9,21.4,5.7,65.0
277.0,35.5,21.7,5.0,62.2
172.0,37.4,22.3,5.0,64.7
286.0,39.1,21.7,5.6,66.39999999999999
473.0,34.0,22.4,4.5,60.9
239.0,38.0,22.6,4.8,65.4
132.0,39.4,22.6,5.8,67.8
305.0,34.2,22.2,4.8,61.2
271.0,37.6,22.1,5.0,64.7
329.0,38.6,21.9,5.5,66.0
651.0,31.9,21.4,4.8,58.1
302.0,38.1,22.3,4.9,65.30000000000001
436.0,38.2,21.5,5.5,65.2
256.0,34.9,22.4,4.7,62.0
330.0,37.1,22.1,5.0,64.2
524.0,39.3,21.1,5.4,65.8
425.0,33.7,21.8,4.8,60.3
340.0,38.0,22.2,5.2,65.4
164.0,39.5,22.5,5.7,67.7
630.0,33.9,21.7,4.8,60.39999999999999
433.0,36.4,21.6,4.4,62.4
715.0,38.0,21.0,5.7,64.7
311.0,34.7,22.3,5.0,62.0
477.0,36.8,21.5,4.9,63.2
970.0,37.8,20.4,5.6,63.8
403.0,33.6,21.5,4.4,59.5
478.0,37.4,21.5,4.6,63.5
672.0,38.6,20.8,5.3,64.7
414.0,36.1,21.6,4.5,62.2
491.0,35.5,22.2,4.8,62.5
742.0,37.6,22.6,5.5,65.7
609.0,33.4,22.1,4.5,60.0
541.0,36.2,22.1,4.8,63.1
509.0,38.5,21.5,5.5,65.5
529.0,33.8,21.6,4.6,60.0
557.0,36.7,21.8,4.6,63.1
662.0,38.6,21.4,5.5,65.5
2083.0,28.5,20.8,3.9,53.2
643.0,34.3,21.9,4.5,60.7
1205.0,37.1,20.8,5.7,63.60000000000001
515.0,34.2,21.6,4.4,60.2
654.0,35.7,21.4,4.8,61.9
977.0,36.9,20.8,5.3,63.0
691.0,32.0,21.4,4.2,57.6
658.0,36.0,20.8,5.0,61.8
689.0,38.2,21.2,5.3,64.7
768.0,32.0,20.8,4.8,57.6
765.0,34.9,20.1,4.3,59.3
973.0,38.3,19.9,5.1,63.3
845.0,31.5,21.4,4.5,57.4
795.0,35.2,21.4,4.6,61.2
683.0,34.2,20.9,4.3,59.4
814.0,34.8,20.7,4.5,60.0
1278.0,36.9,21.7,4.8,63.39999999999999
756.0,31.2,21.2,4.6,57.0
829.0,34.5,21.6,4.3,60.4
1589.0,36.5,20.1,5.6,62.2
879.0,31.2,20.3,4.3,55.8
970.0,33.9,21.3,4.2,59.400000000000006
1340.0,37.2,19.0,5.1,61.3
1169.0,29.6,21.4,4.3,55.3
1123.0,34.9,21.0,4.4,60.3
1458.0,29.5,21.0,4.5,55.0
1135.0,34.9,21.5,4.9,61.3
1388.0,36.4,21.2,5.2,62.8
1362.0,29.9,21.1,4.5,55.5
1180.0,34.7,21.5,4.6,60.8
1128.0,37.3,20.7,5.5,63.5
1191.0,31.8,21.1,4.8,57.7
1262.0,34.8,21.2,4.3,60.3
1689.0,36.7,20.3,5.4,62.4
1389.0,29.2,20.5,4.5,54.2
1270.0,33.5,21.0,4.8,59.3
1448.0,37.0,20.1,5.1,62.2
1240.0,29.7,21.5,4.5,55.7
1284.0,34.8,21.3,4.4,60.49999999999999
1741.0,37.6,20.7,5.3,63.6
1142.0,30.2,21.0,4.8,56.0
1292.0,34.6,20.0,4.4,59.0
1867.0,36.1,18.9,4.8,59.8
1447.0,29.3,20.6,4.5,54.400000000000006
1319.0,34.7,20.2,4.1,59.00000000000001
1663.0,35.8,20.6,5.2,61.6
972.0,31.4,21.1,3.9,56.4
1343.0,33.6,20.0,4.3,57.9
2012.0,37.2,19.9,5.1,62.2
1417.0,30.2,20.0,4.3,54.5
1387.0,33.5,21.1,4.3,58.9
1746.0,36.1,19.6,4.8,60.5
1779.0,30.0,21.1,4.6,55.7
1406.0,34.9,21.5,4.4,60.8
1316.0,37.2,20.8,5.3,63.3
1619.0,29.7,20.9,4.4,54.99999999999999
1414.0,35.5,21.5,4.4,61.4
933.0,38.4,20.7,5.2,64.3
975.0,31.5,20.6,4.5,56.6
1430.0,34.9,20.1,3.5,58.5
2708.0,35.2,18.5,5.0,58.7
1819.0,27.5,20.4,4.4,52.3
1522.0,32.8,21.0,4.5,58.3
1890.0,34.8,19.9,5.3,59.99999999999999
1520.0,29.8,21.1,4.5,55.400000000000006
1527.0,34.3,20.5,4.2,59.0
