basari_sirasi,ayt_matematik,ayt_kimya,ayt_biyoloji,ayt_fizik,toplam_net
31.0,39.9,12.8,13.0,14.0,79.7
30.0,40.0,13.0,12.8,14.0,79.8
70.0,40.0,13.0,12.8,13.6,79.39999999999999
24.0,40.0,13.0,13.0,13.6,79.6
43.0,40.0,13.0,13.0,13.8,79.8
75.0,40.0,13.0,12.8,13.6,79.39999999999999
254.0,38.8,13.0,12.4,14.0,78.2
69.0,40.0,13.0,13.0,14.0,80.0
430.0,40.0,13.0,12.6,13.6,79.19999999999999
203.0,39.3,12.8,12.2,13.8,78.1
71.0,40.0,13.0,13.0,13.5,79.5
357.0,39.8,12.7,12.9,13.3,78.7
122.0,39.5,12.6,12.6,14.0,78.7
98.0,39.9,13.0,12.7,13.9,79.5
156.0,39.7,12.9,12.9,13.7,79.2
286.0,39.4,12.8,12.5,13.8,78.5
242.0,39.9,12.8,12.5,13.8,79.0
350.0,39.9,12.8,12.8,13.6,79.1
363.0,39.8,12.5,12.7,13.8,78.8
250.0,39.8,12.9,12.2,13.8,78.69999999999999
1292.0,39.8,12.6,12.6,13.1,78.1
386.0,39.1,12.5,12.5,13.9,78.0
297.0,39.6,12.9,12.6,13.8,78.89999999999999
383.0,39.9,12.6,12.6,13.4,78.5
1234.0,37.9,12.2,13.0,13.6,76.69999999999999
316.0,40.0,13.0,12.4,13.7,79.10000000000001
660.0,40.0,12.6,12.6,13.6,78.8
532.0,38.8,12.4,12.6,13.6,77.39999999999999
374.0,40.0,13.0,12.1,13.4,78.5
523.0,39.8,12.8,12.6,13.4,78.6
452.0,39.3,12.6,12.6,13.8,78.3
480.0,39.7,12.9,12.5,13.8,78.89999999999999
811.0,39.8,12.6,12.7,13.3,78.39999999999999
758.0,39.0,12.8,12.2,13.7,77.7
495.0,39.5,13.0,12.4,13.8,78.7
693.0,39.5,12.9,12.7,13.3,78.39999999999999
945.0,38.7,12.4,12.5,13.6,77.2
716.0,39.5,12.9,12.4,13.7,78.5
878.0,39.8,12.6,12.6,13.1,78.1
1008.0,38.7,12.5,12.5,13.6,77.3
775.0,39.7,12.9,12.5,13.7,78.8
315.0,39.9,12.8,12.8,13.6,79.1
1419.0,38.0,13.0,13.0,13.2,77.2
796.0,39.7,13.0,12.7,13.4,78.80000000000001
571.0,39.8,13.0,13.0,13.8,79.6
1311.0,38.2,12.6,12.5,13.6,76.9
884.0,39.5,12.9,12.4,13.7,78.5
716.0,39.9,12.6,12.7,13.4,78.60000000000001
3064.0,37.5,11.6,11.9,13.9,74.9
948.0,39.5,13.0,12.3,14.0,78.8
1450.0,40.0,12.2,12.2,13.6,78.0
1242.0,38.3,12.3,12.4,13.6,76.6
1089.0,39.4,12.9,12.3,13.6,78.19999999999999
1482.0,39.7,12.5,12.5,12.9,77.60000000000001
1348.0,38.3,12.3,12.4,13.6,76.6
1147.0,39.4,12.9,12.2,13.7,78.2
1179.0,39.7,12.5,12.5,13.2,77.9
1391.0,37.8,12.3,12.2,13.7,76.0
1151.0,39.6,12.9,12.4,13.3,78.2
1658.0,39.7,12.3,12.2,12.7,76.9
2140.0,36.3,12.6,12.6,12.8,74.3
1259.0,39.1,12.7,12.7,13.4,77.9
2098.0,39.2,12.2,12.5,12.8,76.7
1288.0,38.4,12.4,12.4,13.6,76.8
1436.0,39.4,12.7,12.0,13.6,77.69999999999999
1054.0,39.8,12.5,12.5,13.0,77.8
1804.0,37.1,11.8,12.1,13.6,74.60000000000001
1511.0,39.2,13.0,11.9,13.9,78.00000000000001
1578.0,39.7,12.4,12.6,12.4,77.10000000000001
1734.0,36.7,12.1,12.5,13.5,74.80000000000001
1534.0,39.4,12.7,12.3,13.0,77.39999999999999
1326.0,39.4,12.4,12.8,12.4,77.0
2519.0,38.0,12.2,12.2,13.5,75.9
1632.0,39.3,12.8,12.3,13.3,77.69999999999999
2457.0,39.3,12.3,12.8,13.5,77.89999999999999
1676.0,37.6,12.3,12.1,13.4,75.4
1660.0,39.2,12.8,12.1,13.6,77.69999999999999
2192.0,39.6,12.4,12.4,12.5,76.9
1763.0,37.6,12.3,12.2,13.5,75.60000000000001
1665.0,39.1,12.6,12.1,13.8,77.60000000000001
1686.0,39.5,12.2,12.4,13.1,77.2
1858.0,37.6,12.0,12.1,13.6,75.3
1669.0,39.2,12.8,12.1,13.5,77.6
1143.0,39.9,12.6,12.5,13.1,78.1
1935.0,37.2,12.2,12.3,13.5,75.2
1754.0,39.0,12.7,12.0,13.5,77.2
2290.0,39.6,12.2,12.4,12.4,76.60000000000001
2053.0,37.5,12.2,12.1,13.5,75.30000000000001
1784.0,39.0,12.8,12.1,13.6,77.5
1448.0,39.7,12.4,12.6,12.6,77.3
2474.0,36.9,11.8,12.0,13.0,73.7
1839.0,39.0,12.4,12.2,13.9,77.5
2291.0,39.0,11.4,12.2,13.1,75.69999999999999
1603.0,38.1,12.1,12.1,13.5,75.80000000000001
1913.0,39.1,12.7,11.8,13.6,77.19999999999999
2094.0,39.6,12.2,12.2,12.8,76.8
3113.0,36.7,11.6,12.5,13.8,74.60000000000001
1999.0,39.5,12.7,12.1,13.5,77.8
2215.0,39.7,12.1,12.5,12.7,77.00000000000001
2544.0,36.8,11.4,12.1,13.1,73.39999999999999
2218.0,39.8,12.3,12.0,13.0,77.1
3406.0,39.6,12.4,12.6,11.9,76.5
2392.0,37.1,11.9,12.2,13.6,74.8
2364.0,39.0,12.7,11.5,13.5,76.7
1879.0,39.6,12.5,12.1,12.6,76.8
2826.0,36.0,11.9,12.2,13.3,73.39999999999999
2449.0,38.8,12.6,11.9,13.4,76.7
3042.0,39.4,12.0,11.9,12.2,75.5
2408.0,37.1,11.8,12.1,13.5,74.5
2551.0,38.8,12.5,11.5,13.5,76.3
3346.0,39.3,12.1,12.1,12.5,76.0
2086.0,37.2,11.9,12.5,13.6,75.2
2562.0,38.8,12.8,11.7,13.5,76.8
2813.0,39.7,12.0,12.3,12.3,76.3
2388.0,37.2,11.9,12.2,13.5,74.8
2601.0,39.0,12.5,11.7,13.6,76.8
2580.0,39.4,12.1,12.2,12.7,76.4
4099.0,35.7,11.6,12.3,13.3,72.9
2823.0,39.0,12.4,11.8,13.2,76.4
2358.0,39.9,12.2,11.6,12.9,76.6
3356.0,36.3,11.7,11.8,13.2,73.0
2888.0,38.6,12.6,11.5,13.5,76.2
3437.0,39.7,12.1,12.2,12.3,76.3
4035.0,35.4,12.4,12.7,13.7,74.2
2919.0,38.3,13.0,11.1,14.0,76.4
4806.0,39.5,11.5,11.3,12.5,74.8
2774.0,37.4,11.5,12.2,13.5,74.6
3105.0,38.8,12.7,12.1,13.2,76.8
2110.0,39.8,12.0,12.5,12.7,77.0
2681.0,35.4,11.8,12.5,13.5,73.2
3110.0,38.7,12.3,11.5,13.5,76.0
2651.0,39.8,11.9,12.1,12.3,76.1
3063.0,36.7,11.8,12.0,13.3,73.8
3163.0,38.7,12.5,11.7,13.5,76.4
3283.0,39.5,12.3,11.8,12.5,76.1
3294.0,36.5,11.9,12.2,13.4,74.0
3212.0,38.8,12.6,11.7,13.4,76.5
2559.0,39.7,12.3,12.4,12.6,77.0
3787.0,36.2,11.4,11.8,13.2,72.60000000000001
3272.0,38.5,12.5,11.9,13.5,76.4
5018.0,39.4,11.5,12.1,12.1,75.1
4886.0,36.4,11.7,11.4,12.9,72.39999999999999
3346.0,38.3,12.7,11.6,13.1,75.7
3131.0,39.8,11.8,12.0,12.4,76.0
2792.0,36.4,12.1,12.1,13.4,74.0
3366.0,38.6,12.4,11.7,13.5,76.2
5000.0,39.3,11.9,11.9,12.3,75.39999999999999
4377.0,35.9,11.5,11.9,13.4,72.7
3388.0,38.7,12.5,11.6,13.5,76.30000000000001
3576.0,39.6,11.9,11.9,12.2,75.6
3689.0,35.8,11.8,12.1,13.4,73.1
3429.0,38.6,12.7,11.8,13.5,76.6
2712.0,39.5,12.1,12.2,12.5,76.3
3577.0,35.7,11.8,12.0,13.3,72.8
3533.0,38.4,12.6,11.7,13.4,76.10000000000001
4353.0,39.2,12.0,12.0,12.1,75.3
3771.0,36.0,11.8,12.0,13.3,73.1
3584.0,38.7,12.6,11.5,13.5,76.30000000000001
2695.0,39.5,12.2,12.1,12.7,76.5
2963.0,37.0,12.2,12.1,13.4,74.7
3611.0,38.6,12.7,11.8,13.4,76.5
4973.0,39.4,11.8,12.0,12.0,75.2
5946.0,35.3,11.4,11.8,12.9,71.4
3677.0,38.8,12.5,11.5,13.3,76.1
2851.0,39.4,12.3,12.2,12.2,76.10000000000001
4122.0,36.5,12.1,11.5,13.5,73.6
3702.0,38.5,12.6,11.3,13.5,75.9
8101.0,38.8,11.5,11.2,11.3,72.8
6579.0,35.1,10.0,11.8,12.6,69.5
3752.0,38.4,12.7,11.1,13.1,75.3
