basari_sirasi,ayt_edebiyat,ayt_cografya1,toplam_net
94.0,22.5,5.1,27.6
82.0,22.5,5.3,27.8
200.0,22.7,5.9,28.6
670.0,21.6,4.9,26.5
163.0,22.8,5.4,28.200000000000003
455.0,21.4,5.7,27.1
277.0,21.7,5.0,26.7
172.0,22.3,5.0,27.3
286.0,21.7,5.6,27.3
473.0,22.4,4.5,26.9
239.0,22.6,4.8,27.4
132.0,22.6,5.8,28.4
305.0,22.2,4.8,27.0
271.0,22.1,5.0,27.1
329.0,21.9,5.5,27.4
651.0,21.4,4.8,26.2
302.0,22.3,4.9,27.200000000000003
436.0,21.5,5.5,27.0
256.0,22.4,4.7,27.1
330.0,22.1,5.0,27.1
524.0,21.1,5.4,26.5
425.0,21.8,4.8,26.6
340.0,22.2,5.2,27.4
164.0,22.5,5.7,28.2
630.0,21.7,4.8,26.5
433.0,21.6,4.4,26.0
715.0,21.0,5.7,26.7
311.0,22.3,5.0,27.3
477.0,21.5,4.9,26.4
970.0,20.4,5.6,26.0
403.0,21.5,4.4,25.9
478.0,21.5,4.6,26.1
672.0,20.8,5.3,26.1
414.0,21.6,4.5,26.1
491.0,22.2,4.8,27.0
742.0,22.6,5.5,28.1
609.0,22.1,4.5,26.6
541.0,22.1,4.8,26.9
509.0,21.5,5.5,27.0
529.0,21.6,4.6,26.200000000000003
557.0,21.8,4.6,26.4
662.0,21.4,5.5,26.9
2083.0,20.8,3.9,24.7
643.0,21.9,4.5,26.4
1205.0,20.8,5.7,26.5
515.0,21.6,4.4,26.0
654.0,21.4,4.8,26.2
977.0,20.8,5.3,26.1
691.0,21.4,4.2,25.6
658.0,20.8,5.0,25.8
689.0,21.2,5.3,26.5
768.0,20.8,4.8,25.6
765.0,20.1,4.3,24.4
973.0,19.9,5.1,25.0
845.0,21.4,4.5,25.9
795.0,21.4,4.6,26.0
683.0,20.9,4.3,25.2
814.0,20.7,4.5,25.2
1278.0,21.7,4.8,26.5
756.0,21.2,4.6,25.8
829.0,21.6,4.3,25.9
1589.0,20.1,5.6,25.700000000000003
879.0,20.3,4.3,24.6
970.0,21.3,4.2,25.5
1340.0,19.0,5.1,24.1
1169.0,21.4,4.3,25.7
1123.0,21.0,4.4,25.4
1458.0,21.0,4.5,25.5
1135.0,21.5,4.9,26.4
1388.0,21.2,5.2,26.4
1362.0,21.1,4.5,25.6
1180.0,21.5,4.6,26.1
1128.0,20.7,5.5,26.2
1191.0,21.1,4.8,25.9
1262.0,21.2,4.3,25.5
1689.0,20.3,5.4,25.700000000000003
1389.0,20.5,4.5,25.0
1270.0,21.0,4.8,25.8
1448.0,20.1,5.1,25.200000000000003
1240.0,21.5,4.5,26.0
1284.0,21.3,4.4,25.700000000000003
1741.0,20.7,5.3,26.0
1142.0,21.0,4.8,25.8
1292.0,20.0,4.4,24.4
1867.0,18.9,4.8,23.7
1447.0,20.6,4.5,25.1
1319.0,20.2,4.1,24.3
1663.0,20.6,5.2,25.8
972.0,21.1,3.9,25.0
1343.0,20.0,4.3,24.3
2012.0,19.9,5.1,25.0
1417.0,20.0,4.3,24.3
1387.0,21.1,4.3,25.4
1746.0,19.6,4.8,24.4
1779.0,21.1,4.6,25.700000000000003
1406.0,21.5,4.4,25.9
1316.0,20.8,5.3,26.1
1619.0,20.9,4.4,25.3
1414.0,21.5,4.4,25.9
933.0,20.7,5.2,25.9
975.0,20.6,4.5,25.1
1430.0,20.1,3.5,23.6
2708.0,18.5,5.0,23.5
1819.0,20.4,4.4,24.8
1522.0,21.0,4.5,25.5
1890.0,19.9,5.3,25.2
1520.0,21.1,4.5,25.6
1527.0,20.5,4.2,24.7
2017.0,19.5,5.2,24.7
1091.0,21.2,3.9,25.1
1584.0,20.9,4.3,25.2
1389.0,20.7,5.5,26.2
1559.0,21.0,4.4,25.4
1662.0,21.3,4.3,25.6
991.0,21.8,5.5,27.3
1027.0,20.2,4.2,24.4
1711.0,21.5,4.8,26.3
1908.0,20.1,5.0,25.1
1512.0,20.9,4.4,25.3
1715.0,20.1,4.4,24.5
2604.0,19.0,5.1,24.1
1722.0,20.6,4.3,24.9
1719.0,20.7,3.8,24.5
2425.0,19.0,6.0,25.0
1608.0,20.4,4.5,24.9
1803.0,21.0,4.0,25.0
2785.0,18.9,5.3,24.2
1657.0,22.0,4.3,26.3
1812.0,21.1,3.3,24.4
2102.0,20.9,5.1,26.0
1671.0,20.9,4.4,25.3
1939.0,20.4,4.3,24.7
3136.0,19.5,5.0,24.5
2155.0,21.4,4.5,25.9
1954.0,20.9,4.5,25.4
2770.0,19.5,5.0,24.5
1900.0,19.8,4.4,24.200000000000003
1990.0,19.5,4.4,23.9
2929.0,18.5,4.8,23.3
2271.0,20.4,4.5,24.9
2134.0,21.0,4.7,25.7
3269.0,20.1,4.7,24.8
