basari_sirasi,ayt_edebiyat,ayt_cografya1,toplam_net,ayt_tarih1,ayt_tarih2,ayt_cografya2,ayt_felsefe,ayt_din
94.0,22.5,5.1,41.39,2.88,4.77,2.78,2.92,0.44
82.0,22.5,5.3,41.96,2.15,3.34,5.38,0.0,3.29
200.0,22.7,5.9,42.050000000000004,7.1,0.42,4.63,0.0,1.3
670.0,21.6,4.9,41.79,0.0,4.72,1.85,3.87,4.85
163.0,22.8,5.4,37.92,0.0,2.11,2.27,2.3,3.04
455.0,21.4,5.7,44.61999999999999,4.72,0.0,7.03,4.27,1.5
277.0,21.7,5.0,37.120000000000005,3.41,2.26,2.27,0.6,1.88
172.0,22.3,5.0,35.620000000000005,0.09,2.32,2.19,0.0,3.72
286.0,21.7,5.6,38.07999999999999,3.01,1.09,2.0,3.65,1.03
473.0,22.4,4.5,41.07,6.69,0.87,2.14,2.02,2.45
239.0,22.6,4.8,40.96000000000001,6.26,1.88,1.95,0.64,2.83
132.0,22.6,5.8,44.93000000000001,8.39,5.1,1.53,0.0,1.51
305.0,22.2,4.8,44.37,6.5,3.36,3.51,2.33,1.67
271.0,22.1,5.0,46.550000000000004,7.79,2.98,0.52,4.63,3.53
329.0,21.9,5.5,44.8,4.0,5.22,3.0,2.93,2.25
651.0,21.4,4.8,38.24,0.0,3.98,1.21,2.4,4.45
302.0,22.3,4.9,35.76,0.43,2.02,1.43,0.38,4.3
436.0,21.5,5.5,47.74,8.88,5.19,0.71,2.83,3.13
256.0,22.4,4.7,37.480000000000004,2.12,0.42,3.16,1.34,3.34
330.0,22.1,5.0,33.910000000000004,1.41,0.0,3.97,0.53,0.9
524.0,21.1,5.4,43.58,6.05,3.56,3.34,4.05,0.08
425.0,21.8,4.8,47.51,6.59,5.61,4.06,0.0,4.65
340.0,22.2,5.2,35.46,0.0,1.35,1.51,2.14,3.06
164.0,22.5,5.7,46.16,3.27,4.28,2.19,3.65,4.57
630.0,21.7,4.8,33.5,1.84,1.19,1.47,0.0,2.5
433.0,21.6,4.4,29.339999999999996,0.72,0.0,1.04,0.61,0.97
715.0,21.0,5.7,38.96,5.67,1.67,2.72,0.2,2.0
311.0,22.3,5.0,36.67,3.51,1.48,1.97,1.53,0.88
477.0,21.5,4.9,45.17,6.03,3.77,2.76,4.38,1.83
970.0,20.4,5.6,43.51,3.16,3.88,2.69,1.78,6.0
403.0,21.5,4.4,40.019999999999996,2.28,3.98,6.15,1.65,0.06
478.0,21.5,4.6,38.150000000000006,0.0,5.16,2.97,0.0,3.92
672.0,20.8,5.3,41.45,5.83,2.33,2.78,0.0,4.41
414.0,21.6,4.5,41.150000000000006,4.51,3.43,4.45,0.0,2.66
491.0,22.2,4.8,36.44,2.7,0.3,2.21,1.41,2.82
742.0,22.6,5.5,46.230000000000004,4.03,4.4,5.46,1.95,2.29
609.0,22.1,4.5,41.08,0.83,0.0,5.15,7.05,1.45
541.0,22.1,4.8,42.67000000000001,0.0,2.66,5.31,4.28,3.52
509.0,21.5,5.5,39.73,0.0,2.45,1.49,6.47,2.32
529.0,21.6,4.6,34.62,4.0,2.69,0.62,0.28,0.83
557.0,21.8,4.6,44.730000000000004,7.06,3.38,0.83,3.24,3.82
662.0,21.4,5.5,47.769999999999996,5.21,4.78,5.79,2.36,2.73
2083.0,20.8,3.9,42.71,6.81,0.0,5.95,3.85,1.4
643.0,21.9,4.5,36.169999999999995,0.0,0.0,2.76,2.73,4.28
1205.0,20.8,5.7,42.61,2.59,2.1,5.42,0.0,6.0
515.0,21.6,4.4,46.51,5.59,6.21,0.0,6.07,2.64
654.0,21.4,4.8,40.74,4.86,3.84,2.92,1.08,1.84
977.0,20.8,5.3,44.08,5.93,2.12,3.93,0.55,5.45
691.0,21.4,4.2,41.17,0.78,3.55,2.03,4.67,4.54
658.0,20.8,5.0,35.92999999999999,1.52,0.0,4.97,1.55,2.09
689.0,21.2,5.3,42.830000000000005,4.66,2.36,2.02,4.6,2.69
768.0,20.8,4.8,43.760000000000005,5.58,0.0,2.16,5.76,4.66
765.0,20.1,4.3,37.07,3.15,0.53,3.2,3.75,2.04
973.0,19.9,5.1,38.52,3.43,0.0,6.06,2.69,1.34
845.0,21.4,4.5,47.35,7.56,5.88,2.91,3.1,2.0
795.0,21.4,4.6,44.73,5.64,3.62,6.22,2.39,0.86
683.0,20.9,4.3,34.22,0.0,3.92,3.1,1.0,1.0
814.0,20.7,4.5,41.43,2.73,4.24,2.83,3.06,3.37
1278.0,21.7,4.8,43.169999999999995,4.33,4.37,2.8,0.0,5.17
756.0,21.2,4.6,54.47,7.97,4.6,5.54,4.61,5.95
829.0,21.6,4.3,39.800000000000004,6.04,1.61,0.0,3.69,2.56
1589.0,20.1,5.6,44.040000000000006,3.28,4.94,1.59,2.53,6.0
879.0,20.3,4.3,40.86,6.47,3.56,0.21,5.76,0.26
970.0,21.3,4.2,48.980000000000004,6.39,5.47,6.7,1.89,3.03
1340.0,19.0,5.1,40.730000000000004,3.96,7.01,1.67,2.88,1.11
1169.0,21.4,4.3,38.32,7.06,0.02,2.32,0.0,3.22
1123.0,21.0,4.4,40.730000000000004,6.57,1.55,3.88,2.24,1.09
1458.0,21.0,4.5,39.92999999999999,6.22,1.83,3.4,0.0,2.98
1135.0,21.5,4.9,35.86,1.98,3.34,0.5,0.83,2.81
1388.0,21.2,5.2,41.46999999999999,3.7,4.6,0.43,4.79,1.55
1362.0,21.1,4.5,38.86,0.0,3.66,4.62,4.98,0.0
1180.0,21.5,4.6,35.66,2.08,0.0,4.11,0.0,3.37
1128.0,20.7,5.5,38.519999999999996,4.05,0.0,3.43,1.9,2.94
1191.0,21.1,4.8,36.620000000000005,5.07,2.74,2.91,0.0,0.0
1262.0,21.2,4.3,30.450000000000003,0.0,0.71,1.09,1.64,1.51
1689.0,20.3,5.4,42.71,3.08,3.76,5.21,1.25,3.71
1389.0,20.5,4.5,38.77,2.64,2.86,0.0,6.35,1.92
1270.0,21.0,4.8,33.53,1.06,0.66,2.09,1.4,2.52
1448.0,20.1,5.1,35.52,2.41,2.76,0.63,1.08,3.44
1240.0,21.5,4.5,36.23,2.15,1.44,0.0,2.95,3.69
1284.0,21.3,4.4,30.870000000000005,0.0,1.12,2.18,0.0,1.87
1741.0,20.7,5.3,31.960000000000004,2.66,0.0,0.67,1.78,0.85
1142.0,21.0,4.8,37.339999999999996,6.13,0.0,0.0,2.47,2.94
1292.0,20.0,4.4,31.330000000000002,0.0,0.1,3.62,1.28,1.93
1867.0,18.9,4.8,42.68000000000001,2.19,3.78,3.95,5.32,3.74
1447.0,20.6,4.5,37.349999999999994,1.13,2.5,4.6,0.0,4.02
1319.0,20.2,4.1,38.92999999999999,4.63,2.86,0.91,2.51,3.72
1663.0,20.6,5.2,38.84,0.36,3.93,4.55,1.57,2.63
972.0,21.1,3.9,36.45,2.21,0.98,2.86,0.66,4.74
1343.0,20.0,4.3,36.04,3.72,2.51,0.81,3.91,0.79
2012.0,19.9,5.1,40.32,5.56,4.02,2.64,0.29,2.81
1417.0,20.0,4.3,42.69,0.42,7.89,2.36,4.51,3.21
1387.0,21.1,4.3,40.48,4.79,2.46,1.45,4.62,1.76
1746.0,19.6,4.8,44.75,4.05,8.28,4.46,0.58,2.98
1779.0,21.1,4.6,35.830000000000005,3.05,4.34,0.0,0.5,2.24
1406.0,21.5,4.4,42.58,4.06,4.59,4.13,0.0,3.9
1316.0,20.8,5.3,39.93000000000001,3.29,0.92,5.23,0.0,4.39
1619.0,20.9,4.4,39.93,5.55,4.4,2.82,0.0,1.86
1414.0,21.5,4.4,46.47,7.86,4.06,0.94,4.46,3.25
933.0,20.7,5.2,50.169999999999995,6.89,3.36,7.23,4.88,1.91
975.0,20.6,4.5,42.58,6.72,0.0,2.9,4.01,3.85
1430.0,20.1,3.5,39.120000000000005,4.28,3.74,2.23,0.0,5.27
2708.0,18.5,5.0,35.739999999999995,6.81,0.0,2.16,2.3,0.97
1819.0,20.4,4.4,39.49999999999999,1.46,0.04,4.98,7.43,0.79
1522.0,21.0,4.5,34.66,1.44,0.0,3.18,2.67,1.87
1890.0,19.9,5.3,42.00999999999999,2.27,4.91,5.9,2.48,1.25
1520.0,21.1,4.5,44.15,0.72,2.87,4.38,5.86,4.72
1527.0,20.5,4.2,45.56999999999999,8.74,2.1,4.87,1.3,3.86
2017.0,19.5,5.2,36.61,2.4,1.78,0.95,3.82,2.96
1091.0,21.2,3.9,43.31,4.07,4.73,2.69,2.56,4.16
1584.0,20.9,4.3,38.220000000000006,1.57,6.04,0.88,2.14,2.39
1389.0,20.7,5.5,43.38999999999999,6.89,0.42,3.48,3.4,3.0
1559.0,21.0,4.4,39.849999999999994,5.49,2.65,0.66,3.28,2.37
1662.0,21.3,4.3,45.35000000000001,6.07,0.0,8.2,0.96,4.52
991.0,21.8,5.5,40.07,5.09,1.9,0.86,1.97,2.95
1027.0,20.2,4.2,36.940000000000005,2.48,2.87,0.1,5.28,1.81
1711.0,21.5,4.8,42.58,6.06,4.94,2.38,0.64,2.26
1908.0,20.1,5.0,40.6,5.31,1.91,3.8,4.17,0.31
1512.0,20.9,4.4,34.57,4.63,1.45,2.42,0.77,0.0
1715.0,20.1,4.4,39.589999999999996,1.71,2.68,6.26,0.0,4.44
2604.0,19.0,5.1,31.770000000000003,0.0,3.22,2.35,0.0,2.1
1722.0,20.6,4.3,33.50000000000001,1.73,4.17,1.39,1.31,0.0
1719.0,20.7,3.8,40.17,3.41,0.45,5.63,1.09,5.09
2425.0,19.0,6.0,41.42999999999999,3.73,5.46,2.85,2.59,1.8
1608.0,20.4,4.5,31.92,0.44,0.0,4.26,0.92,1.4
1803.0,21.0,4.0,39.339999999999996,4.54,0.86,0.54,4.27,4.13
2785.0,18.9,5.3,43.15999999999999,7.81,5.34,0.0,2.19,3.62
1657.0,22.0,4.3,42.31999999999999,2.25,4.56,4.79,0.01,4.41
1812.0,21.1,3.3,31.950000000000003,3.32,2.3,1.49,0.44,0.0
2102.0,20.9,5.1,36.93,3.55,3.64,0.31,0.99,2.44
1671.0,20.9,4.4,33.99999999999999,1.32,2.53,4.8,0.05,0.0
1939.0,20.4,4.3,37.900000000000006,3.61,4.75,4.46,0.0,0.38
3136.0,19.5,5.0,38.86000000000001,0.28,1.25,4.78,4.23,3.82
2155.0,21.4,4.5,46.93,6.23,3.2,3.85,3.61,4.14
1954.0,20.9,4.5,38.24,2.55,1.39,5.51,0.0,3.39
2770.0,19.5,5.0,32.17,2.43,0.0,0.94,2.95,1.35
1900.0,19.8,4.4,43.84,4.88,2.95,3.92,1.98,5.91
1990.0,19.5,4.4,36.58,2.62,2.32,1.27,3.51,2.96
2929.0,18.5,4.8,41.14,3.12,3.8,2.0,2.92,6.0
2271.0,20.4,4.5,46.99999999999999,3.13,8.35,4.3,1.64,4.68
2134.0,21.0,4.7,38.97,0.8,7.24,3.24,0.51,1.48
3269.0,20.1,4.7,43.16,3.08,5.23,3.87,2.16,4.02
2143.0,20.6,4.2,36.410000000000004,4.3,2.3,2.62,2.39,0.0
2255.0,20.0,4.4,31.69,1.6,2.17,1.54,0.0,1.98
2149.0,20.7,4.4,36.64,0.78,5.84,2.24,1.16,1.52
2267.0,20.1,4.2,43.010000000000005,2.83,4.05,3.54,5.61,2.68
3923.0,18.8,5.3,40.01,3.22,3.18,4.44,2.99,2.08
1993.0,21.2,3.9,31.419999999999995,2.22,0.0,1.29,0.0,2.81
2353.0,19.7,3.3,29.6,0.19,4.31,0.82,0.0,1.28
3894.0,17.5,5.3,38.379999999999995,4.02,3.04,0.78,4.02,3.72
2450.0,20.8,4.5,40.10000000000001,1.99,4.93,5.48,1.02,1.38
