basari_sirasi,tyt_turkce,tyt_matematik,tyt_sosyal,tyt_fen,toplam_net
389.0,35.8,35.8,17.9,16.7,106.2
279.0,34.9,38.9,17.9,18.8,110.5
215.0,34.2,38.3,17.5,17.9,107.9
791.0,35.4,32.9,15.8,15.4,99.5
918.0,36.0,35.1,15.4,18.1,104.6
1244.0,34.2,34.3,15.8,16.6,100.9
1707.0,35.1,31.9,15.9,14.8,97.7
1656.0,34.4,29.6,17.1,17.2,98.3
2120.0,34.4,32.9,14.6,12.0,93.9
1691.0,34.5,30.8,15.8,13.7,94.8
1874.0,33.9,30.4,16.1,15.4,95.8
1507.0,33.8,33.1,16.1,15.1,98.1
2067.0,32.8,29.0,15.4,12.8,90.0
2166.0,35.2,28.1,16.1,12.4,91.8
3248.0,32.4,28.3,14.5,12.1,87.3
2380.0,34.2,27.5,15.4,11.6,88.7
2943.0,33.8,26.6,15.6,13.5,89.5
2364.0,34.1,29.2,15.4,13.0,91.7
2617.0,33.7,26.9,15.5,11.5,87.6
3112.0,33.4,27.2,15.3,14.6,90.5
2513.0,33.3,29.6,16.2,13.1,92.2
3686.0,33.3,22.3,15.5,10.7,81.8
3682.0,33.5,24.1,15.1,11.9,84.60000000000001
3656.0,33.6,25.9,15.4,10.2,85.10000000000001
3123.0,33.8,24.7,15.1,9.4,83.0
3939.0,33.3,23.9,15.5,11.4,84.1
3142.0,33.3,26.7,15.6,11.3,86.89999999999999
2858.0,33.8,27.4,15.3,10.5,87.0
3986.0,33.2,25.3,14.5,11.5,84.5
3485.0,33.0,25.6,14.4,10.7,83.7
3558.0,33.7,23.6,15.4,8.8,81.5
4025.0,33.0,24.1,15.3,11.3,83.7
4605.0,32.9,24.3,14.6,11.1,82.89999999999999
3304.0,31.0,24.6,15.8,8.5,79.9
4086.0,34.5,25.2,16.0,14.3,90.0
4334.0,35.5,20.8,14.8,8.8,79.89999999999999
3822.0,32.7,27.2,13.9,11.1,84.9
4126.0,31.6,25.2,14.8,13.4,85.0
5134.0,33.1,28.7,13.6,10.4,85.8
5540.0,33.3,19.4,15.6,8.4,76.7
4226.0,33.0,25.7,14.3,16.3,89.3
6211.0,30.8,18.3,12.3,10.4,71.80000000000001
3376.0,33.3,24.2,14.9,9.8,82.2
4347.0,32.8,23.8,14.7,11.7,83.0
4710.0,32.6,23.7,14.5,10.2,81.0
4729.0,32.5,22.4,12.6,7.6,75.1
4909.0,33.6,24.0,15.2,9.8,82.6
6452.0,30.6,25.3,13.0,5.9,74.80000000000001
3844.0,32.2,23.1,13.6,8.0,76.9
5463.0,32.7,18.7,14.8,11.1,77.3
5003.0,32.6,24.3,13.3,9.2,79.4
3970.0,33.2,20.9,14.9,8.4,77.4
5492.0,32.9,19.6,15.1,9.4,77.0
5971.0,31.8,20.6,14.0,7.6,74.0
4660.0,33.0,21.1,14.3,8.1,76.5
5936.0,31.8,20.6,14.8,10.0,77.2
5467.0,32.9,21.6,14.4,8.7,77.60000000000001
4545.0,32.5,21.0,14.6,7.7,75.8
6002.0,33.1,19.4,15.2,8.0,75.7
7071.0,31.9,18.9,14.2,7.3,72.3
6731.0,30.2,16.5,11.8,4.2,62.7
6052.0,33.8,18.8,16.3,0.5,69.39999999999999
8453.0,27.0,10.0,16.3,10.5,63.8
6617.0,32.4,16.8,14.8,9.3,73.3
6513.0,32.8,18.2,14.1,8.6,73.69999999999999
4272.0,30.3,27.3,17.1,11.2,85.9
3943.0,33.6,24.6,15.5,9.4,83.10000000000001
6601.0,32.3,22.4,13.9,9.5,78.1
4559.0,33.2,22.0,14.0,11.3,80.5
3423.0,27.5,31.8,12.8,12.8,84.89999999999999
6641.0,35.0,7.8,15.0,11.8,69.6
4763.0,35.3,14.5,12.5,13.8,76.1
6959.0,33.0,16.0,14.1,3.1,66.2
6793.0,32.3,18.6,16.1,6.6,73.6
8650.0,28.9,21.8,14.9,7.4,73.00000000000001
5544.0,32.6,21.0,13.8,6.1,73.5
6856.0,31.0,17.5,15.6,9.7,73.8
7141.0,31.7,19.4,13.6,7.9,72.6
6825.0,33.3,16.5,14.8,7.3,71.89999999999999
6877.0,31.9,20.3,14.8,10.3,77.3
5665.0,31.9,26.8,15.7,12.2,86.60000000000001
5588.0,32.7,18.7,14.8,7.5,73.7
6960.0,32.4,18.8,14.2,8.0,73.4
6386.0,32.6,19.1,14.4,7.3,73.4
5791.0,32.0,19.2,14.3,6.9,72.4
7101.0,32.3,19.4,14.7,7.4,73.8
7256.0,31.4,19.7,13.9,7.9,72.9
5671.0,32.9,17.3,14.4,7.4,72.00000000000001
7283.0,31.5,17.6,15.9,5.4,70.4
5135.0,33.3,23.7,15.7,5.9,78.60000000000001
6033.0,32.5,17.7,14.7,6.7,71.60000000000001
7541.0,32.6,17.0,14.4,7.3,71.3
8301.0,32.3,16.2,14.0,5.8,68.3
8877.0,34.8,5.0,12.2,7.8,59.8
8346.0,30.8,14.9,13.4,7.1,66.2
6113.0,26.0,15.5,11.8,13.0,66.3
7063.0,32.3,15.8,14.3,5.0,67.39999999999999
8537.0,31.3,17.9,14.1,5.6,68.9
8896.0,30.8,16.4,13.1,6.3,66.60000000000001
6772.0,32.9,15.7,14.2,7.6,70.39999999999999
8568.0,32.9,13.9,14.6,7.5,68.9
8008.0,31.9,22.7,14.7,6.8,76.1
5585.0,32.4,20.0,14.8,7.9,75.10000000000001
8636.0,32.1,16.5,14.7,7.5,70.8
8075.0,31.6,17.2,13.2,6.1,68.1
6705.0,32.3,17.8,13.6,6.2,69.89999999999999
8659.0,27.9,22.5,13.9,11.0,75.3
10540.0,30.6,15.5,13.5,6.7,66.3
7229.0,32.5,16.7,14.5,5.8,69.5
8736.0,31.9,17.4,14.5,6.0,69.8
7661.0,32.0,19.6,14.2,6.6,72.39999999999999
6014.0,32.5,18.0,15.1,7.6,73.19999999999999
9229.0,31.6,18.3,14.2,6.1,70.2
10012.0,31.7,15.1,13.8,5.6,66.19999999999999
7583.0,31.6,19.9,12.5,3.2,67.2
9248.0,29.9,17.7,13.2,8.1,68.89999999999999
8387.0,31.6,17.6,12.9,6.9,69.0
6594.0,32.3,17.4,14.6,6.8,71.1
9285.0,31.7,16.3,14.5,6.0,68.5
7803.0,31.3,18.6,14.1,5.8,69.8
7049.0,32.6,16.6,14.2,5.5,68.9
9287.0,31.1,16.3,14.2,5.1,66.7
11192.0,30.0,14.4,13.0,4.6,62.0
5699.0,35.2,18.9,14.2,5.2,73.5
9400.0,31.4,14.8,15.2,4.4,65.80000000000001
9379.0,33.9,13.5,14.1,5.2,66.7
7727.0,33.2,14.9,14.3,6.2,68.60000000000001
9415.0,29.5,14.3,13.0,4.8,61.6
9753.0,32.1,16.4,14.9,4.4,67.8
8709.0,32.2,17.7,13.8,6.0,69.7
9743.0,31.9,16.7,13.9,7.1,69.6
11399.0,29.9,18.6,12.4,5.7,66.6
8253.0,31.9,14.7,12.7,6.0,65.3
9781.0,28.9,18.4,13.8,6.4,67.5
10364.0,32.8,19.8,11.3,4.6,68.49999999999999
12706.0,31.5,12.8,15.0,5.9,65.2
10122.0,30.8,10.6,13.0,4.0,58.4
15782.0,30.4,11.8,12.9,2.3,57.4
15057.0,30.6,14.1,12.9,4.9,62.5
10366.0,31.1,18.2,14.2,8.9,72.4
9718.0,31.5,18.2,13.8,8.6,72.1
9709.0,31.7,16.3,13.3,6.5,67.8
10478.0,30.2,17.6,13.8,5.8,67.39999999999999
11650.0,31.0,18.5,12.4,4.8,66.7
7565.0,32.9,15.7,14.2,5.7,68.5
10652.0,31.9,15.2,13.6,5.3,66.0
10061.0,31.2,14.3,14.0,5.8,65.3
8432.0,32.0,14.7,14.2,4.9,65.80000000000001
10794.0,31.5,14.6,14.2,5.4,65.7
10793.0,30.6,15.8,12.9,5.2,64.5
8187.0,32.3,14.4,14.6,5.0,66.3
10964.0,31.6,15.3,13.6,4.1,64.60000000000001
12055.0,30.8,13.2,13.0,4.7,61.7
7611.0,32.3,16.5,13.8,5.7,68.3
11219.0,31.3,15.2,14.2,4.3,65.0
11074.0,31.0,14.4,13.3,5.4,64.10000000000001
8635.0,31.4,16.8,13.8,4.7,66.7
11298.0,30.9,14.6,13.8,3.8,63.1
9951.0,31.1,15.4,13.3,5.0,64.8
9876.0,31.5,10.4,12.7,5.1,59.7
11311.0,32.1,16.4,13.5,3.8,65.8
11521.0,30.8,12.8,13.4,2.5,59.5
8686.0,31.9,16.2,13.9,5.5,67.5
11332.0,31.1,16.6,13.8,6.3,67.8
13437.0,31.0,13.6,13.2,4.6,62.4
9232.0,31.8,11.7,13.5,6.1,63.1
11403.0,33.5,17.2,14.4,4.6,69.7
11385.0,31.8,13.8,12.9,5.3,63.8
9964.0,30.1,12.2,15.0,4.4,61.7
11558.0,33.1,15.7,12.7,4.4,65.9
11844.0,30.4,10.6,13.0,5.0,59.0
11319.0,31.7,14.1,13.7,4.1,63.6
11576.0,29.8,17.0,14.0,5.3,66.1
11257.0,31.8,16.6,13.8,5.3,67.5
9370.0,32.0,16.2,13.7,2.7,64.60000000000001
11791.0,31.0,15.8,14.5,6.3,67.6
8657.0,32.1,19.4,13.0,5.8,70.3
8525.0,31.2,14.9,14.2,4.2,64.5
12141.0,31.3,14.1,13.5,4.4,63.3
11661.0,31.1,14.2,13.3,3.9,62.49999999999999
36174.0,27.7,9.1,14.1,1.0,51.9
12471.0,30.3,13.3,15.9,3.2,62.7
19658.0,23.9,10.8,10.1,0.8,45.6
8993.0,31.5,15.6,13.7,3.8,64.6
12598.0,30.7,13.2,13.0,2.8,59.7
12186.0,30.5,11.8,12.7,3.4,58.4
10910.0,31.6,12.6,13.9,4.5,62.6
12823.0,31.5,13.2,13.1,3.3,61.1
13909.0,30.0,11.1,12.2,3.6,56.9
9762.0,33.0,16.7,12.6,4.2,66.5
12827.0,27.6,16.2,13.0,8.4,65.2
12065.0,31.5,15.3,13.3,4.6,64.69999999999999
11338.0,31.5,13.2,13.0,4.4,62.1
12869.0,30.9,13.2,13.7,3.0,60.8
12194.0,30.8,13.4,12.8,4.1,61.1
10036.0,31.2,13.3,14.2,4.0,62.7
12977.0,29.3,14.7,12.6,5.9,62.5
13161.0,29.2,10.1,13.5,3.2,56.0
12851.0,30.3,13.3,13.6,3.8,61.0
13220.0,30.5,15.5,13.7,3.8,63.5
13769.0,29.9,15.7,11.7,4.8,62.1
16158.0,28.7,9.5,13.4,2.8,54.4
13441.0,29.9,15.8,14.0,1.7,61.400000000000006
9469.0,32.1,12.9,14.5,3.1,62.6
12305.0,31.2,14.2,13.4,4.1,62.9
13593.0,30.0,12.6,13.2,3.3,59.1
14027.0,30.4,14.8,13.1,4.7,63.00000000000001
11599.0,31.5,13.9,13.3,3.3,62.0
13711.0,30.9,14.5,13.3,2.9,61.6
13215.0,31.4,13.0,13.2,2.9,60.49999999999999
11900.0,29.9,14.0,15.0,1.8,60.7
13801.0,26.8,13.4,12.3,3.7,56.2
14432.0,30.7,9.7,13.0,3.8,57.2
10953.0,31.5,11.9,13.9,4.4,61.7
13963.0,30.2,12.5,13.0,2.5,58.2
15304.0,30.6,10.3,12.8,2.2,55.900000000000006
12836.0,30.3,13.4,13.0,4.4,61.1
14099.0,28.2,16.7,10.8,5.0,60.7
11052.0,30.4,21.5,10.4,4.7,67.0
10814.0,29.6,15.8,14.4,4.5,64.30000000000001
14175.0,29.9,14.6,13.6,3.4,61.5
13744.0,30.7,9.5,11.2,5.2,56.60000000000001
9539.0,32.4,14.0,14.0,4.2,64.6
14311.0,30.7,13.4,13.4,3.5,61.0
13455.0,31.0,11.0,12.9,3.7,58.6
12348.0,31.8,12.1,13.7,4.6,62.2
14407.0,29.8,13.7,13.4,3.6,60.5
14604.0,29.2,12.1,12.3,4.5,58.1
13809.0,30.7,11.7,11.8,1.7,55.900000000000006
14521.0,27.4,11.5,12.8,3.1,54.8
14462.0,30.5,10.4,13.6,1.6,56.1
12974.0,30.6,12.8,14.2,3.4,61.00000000000001
14650.0,32.9,16.8,14.7,4.9,69.30000000000001
8758.0,33.4,16.1,14.6,6.2,70.3
13731.0,31.1,12.8,14.1,3.7,61.70000000000001
14695.0,29.7,16.7,12.5,5.0,63.9
11986.0,30.5,14.6,13.3,4.3,62.7
10524.0,31.4,12.7,13.7,4.0,61.8
14827.0,31.0,13.7,13.3,3.6,61.6
12392.0,30.4,12.9,12.4,4.5,60.2
11843.0,31.6,14.5,13.2,3.9,63.2
15960.0,30.3,13.9,13.0,4.1,61.3
15227.0,28.8,14.8,12.8,4.3,60.7
15212.0,29.9,14.4,12.8,3.5,60.6
13312.0,31.1,13.8,13.2,4.4,62.50000000000001
